,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
14,0.15652408599853515,0.007711249388620705,0.009404897689819336,0.00582970803667529,True,,2,5,100,42,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",0.9459459459459459,0.9054054054054054,0.9594594594594594,0.8356164383561644,0.9054054054054054,0.9103665309144761,0.04315741483734654,44
15,0.017580080032348632,0.002863987635928546,0.00093841552734375,0.0011677643774358557,True,,2,10,10,42,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10, 'random_state': 42}",0.9459459459459459,0.8783783783783784,0.9324324324324325,0.8356164383561644,0.9054054054054054,0.8995557201036654,0.03950661118929739,146
16,0.07656922340393066,0.0013606205328159046,0.004326868057250977,0.00041305789767974693,True,,2,10,50,42,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'random_state': 42}",0.9459459459459459,0.8918918918918919,0.9324324324324325,0.8356164383561644,0.9054054054054054,0.902258422806368,0.03841247997493939,126
17,0.15490708351135254,0.004039209726705126,0.006173038482666015,0.0013978989847422845,True,,2,10,100,42,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.9459459459459459,0.9054054054054054,0.9324324324324325,0.8356164383561644,0.9054054054054054,0.9049611255090706,0.038061814501958446,101
18,0.01606407165527344,0.0014352603099925516,0.0023808002471923826,0.0011906429093631672,True,,4,2,10,42,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 42}",0.9594594594594594,0.8783783783783784,0.9459459459459459,0.821917808219178,0.918918918918919,0.9049241021843762,0.04989483348879774,107
19,0.07792134284973144,0.00224765475612132,0.004525613784790039,0.0004676202827600296,True,,4,2,50,42,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50, 'random_state': 42}",0.918918918918919,0.8918918918918919,0.9324324324324325,0.8356164383561644,0.9054054054054054,0.8968530174009626,0.033467815894637765,153
20,0.15327415466308594,0.0029498893053700515,0.007677507400512695,0.0012676238547309916,True,,4,2,100,42,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.9459459459459459,0.9054054054054054,0.9324324324324325,0.821917808219178,0.9054054054054054,0.9022213994816735,0.04311260844012299,134
21,0.016084051132202147,0.005961663077193937,0.0029974937438964843,0.003688107789282948,True,,4,5,10,42,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 10, 'random_state': 42}",0.9594594594594594,0.8783783783783784,0.9459459459459459,0.821917808219178,0.918918918918919,0.9049241021843762,0.04989483348879774,107
22,0.07896900177001953,0.0017171915525718447,0.0049877166748046875,0.0001683318241436053,True,,4,5,50,42,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'random_state': 42}",0.918918918918919,0.8918918918918919,0.9324324324324325,0.8356164383561644,0.9054054054054054,0.8968530174009626,0.033467815894637765,153
23,0.14711408615112304,0.004535449120542898,0.004142284393310547,0.0033832393009143053,True,,4,5,100,42,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",0.9459459459459459,0.9054054054054054,0.9324324324324325,0.821917808219178,0.9054054054054054,0.9022213994816735,0.04311260844012299,134
24,0.015366506576538087,0.0019429424973062366,0.0033505916595458984,0.0017624535048639846,True,,4,10,10,42,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 10, 'random_state': 42}",0.9324324324324325,0.8783783783783784,0.9324324324324325,0.821917808219178,0.918918918918919,0.8968159940762682,0.04236811198593361,157
25,0.07668094635009766,0.00212701294410587,0.004712820053100586,0.00031327940012221115,True,,4,10,50,42,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'random_state': 42}",0.918918918918919,0.8918918918918919,0.9324324324324325,0.8356164383561644,0.8918918918918919,0.8941503146982599,0.03321270817030455,160
26,0.1529456615447998,0.0017592998848956964,0.006859779357910156,0.0008864456251495059,True,,4,10,100,42,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.9459459459459459,0.9054054054054054,0.9324324324324325,0.821917808219178,0.9054054054054054,0.9022213994816735,0.04311260844012299,134
27,0.014569377899169922,0.006370042477751022,0.004937314987182617,0.0042819362956704335,True,10,1,2,10,42,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 42}",0.9324324324324325,0.9054054054054054,0.9459459459459459,0.8082191780821918,0.918918918918919,0.9021843761569789,0.048887418215614604,145
28,0.07910375595092774,0.005665801724361654,0.004561042785644532,0.003215094044364175,True,10,1,2,50,42,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50, 'random_state': 42}",0.9459459459459459,0.9054054054054054,0.9459459459459459,0.821917808219178,0.918918918918919,0.9076268048870789,0.04564031487131131,69
29,0.1578439712524414,0.007253407955686889,0.005976581573486328,0.0032715090278496823,True,10,1,2,100,42,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.9459459459459459,0.9054054054054054,0.9459459459459459,0.821917808219178,0.918918918918919,0.9076268048870789,0.04564031487131131,69
30,0.017441940307617188,0.0005277348022258247,0.002364492416381836,0.0004448214118678043,True,10,1,5,10,42,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10, 'random_state': 42}",0.9594594594594594,0.9054054054054054,0.9594594594594594,0.8356164383561644,0.918918918918919,0.9157719363198817,0.04551806602357619,2
31,0.07884268760681153,0.004007598780277414,0.003505849838256836,0.0032329522775668747,True,10,1,5,50,42,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50, 'random_state': 42}",0.9459459459459459,0.9054054054054054,0.9459459459459459,0.821917808219178,0.918918918918919,0.9076268048870789,0.04564031487131131,69
32,0.1536184787750244,0.002385107937817591,0.007761859893798828,0.0018087788982868163,True,10,1,5,100,42,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",0.9459459459459459,0.9054054054054054,0.9459459459459459,0.8356164383561644,0.918918918918919,0.9103665309144763,0.040539171161568216,29
33,0.017423582077026368,0.005567267241783546,0.0014014244079589844,0.0011994010357961687,True,10,1,10,10,42,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10, 'random_state': 42}",0.9324324324324325,0.8783783783783784,0.9594594594594594,0.8356164383561644,0.9054054054054054,0.902258422806368,0.04290394751983719,126
34,0.07923898696899415,0.0011041990064763686,0.0035202503204345703,0.0017914163507051996,True,10,1,10,50,42,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50, 'random_state': 42}",0.9459459459459459,0.8918918918918919,0.9324324324324325,0.8493150684931506,0.9054054054054054,0.9049981488337652,0.03376953440624642,94
35,0.1543179988861084,0.0028480182230315853,0.0075816154479980465,0.0025397937256092682,True,10,1,10,100,42,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.9459459459459459,0.8918918918918919,0.9324324324324325,0.8356164383561644,0.9054054054054054,0.902258422806368,0.03841247997493939,126
36,0.017052459716796874,0.0005579093867016525,0.002719688415527344,0.00038990544354918627,True,10,2,2,10,42,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 42}",0.9459459459459459,0.9054054054054054,0.9459459459459459,0.8356164383561644,0.918918918918919,0.9103665309144763,0.040539171161568216,29
37,0.07668213844299317,0.003169850713637111,0.0053119659423828125,0.002312323049172657,True,10,2,2,50,42,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50, 'random_state': 42}",0.9324324324324325,0.9054054054054054,0.9459459459459459,0.8356164383561644,0.918918918918919,0.9076638282117735,0.03847494826158239,59
38,0.14948058128356934,0.0016417244854591818,0.006256008148193359,0.0024180851588004077,True,10,2,2,100,42,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.9324324324324325,0.9054054054054054,0.9459459459459459,0.8356164383561644,0.9054054054054054,0.9049611255090706,0.03806181450195845,101
39,0.017064571380615234,0.003376090690552667,0.0015960216522216796,0.0013533660770759055,True,10,2,5,10,42,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 10, 'random_state': 42}",0.9594594594594594,0.9054054054054054,0.9594594594594594,0.821917808219178,0.918918918918919,0.9130322102924844,0.05040959171990786,19
40,0.07956943511962891,0.005009677221701489,0.0038005352020263673,0.003716707615329586,True,10,2,5,50,42,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'random_state': 42}",0.9459459459459459,0.9054054054054054,0.9459459459459459,0.8356164383561644,0.918918918918919,0.9103665309144763,0.040539171161568216,29
41,0.15129351615905762,0.003805822772523398,0.006179618835449219,0.003559238190390714,True,10,2,5,100,42,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",0.9459459459459459,0.9054054054054054,0.9459459459459459,0.8356164383561644,0.9054054054054054,0.9076638282117735,0.04032881949320325,59
42,0.014155101776123048,0.003480109532013774,0.005644702911376953,0.003800107442704464,True,10,2,10,10,42,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10, 'random_state': 42}",0.9459459459459459,0.8783783783783784,0.9324324324324325,0.8356164383561644,0.9054054054054054,0.8995557201036654,0.03950661118929739,146
43,0.07855253219604492,0.0007493670243370078,0.004152774810791016,0.0004867750271502633,True,10,2,10,50,42,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'random_state': 42}",0.9459459459459459,0.8918918918918919,0.9324324324324325,0.8493150684931506,0.918918918918919,0.907700851536468,0.03423158261730207,49
